Trainname,TrainID,CURRENT_DATE,RollingStockFitnessStatus,SignallingFitnessStatus,TelecomFitnessStatus,RollingStockFitnessExpiryDate,SignallingFitnessExpiryDate,TelecomFitnessExpiryDate,JobCardStatus,OpenJobCards,ClosedJobCards,LastJobCardUpdate,BrandingActive,BrandCampaignID,ExposureHoursAccrued,ExposureHoursTarget,ExposureDailyQuota,TotalMileageKM,MileageSinceLastServiceKM,MileageBalanceVariance,BrakepadWear%,HVACWear%,CleaningRequired,CleaningSlotStatus,BayOccupancyIDC,LastCleanedDate,BayPositionID,ShuntingMovesRequired,StablingSequenceOrder,OperationalStatus
Mandakini,T11,15-09-2025,TRUE,TRUE,TRUE,11-06-2026,14-09-2026,21-08-2026,open,1,7,17-05-2024,TRUE,KMM-RLJ-WRP-25-06,288,320,16,221291,4244,5756,14,100,FALSE,free,NULL,21-03-2024,3,0,1,In_Service
Yamuna,T12,15-09-2025,TRUE,TRUE,TRUE,23-04-2026,19-02-2026,09-11-2026,open,2,2,09-05-2024,FALSE,NULL,0,0,0,9798,2648,7352,85,95,FALSE,free,NULL,14-04-2023,9,0,1,In_Service
Periyar,T13,15-09-2025,FALSE,FALSE,FALSE,15-01-2025,28-02-2025,12-03-2025,open,4,1,12-01-2025,TRUE,KMM-RLJ-WRP-25-07,312,320,16,247502,7203,2797,55,35,TRUE,booked,BAY_04,19-07-2024,8,0,1,Under_Maintenance
Kabani,T14,15-09-2025,FALSE,FALSE,FALSE,20-11-2024,05-12-2024,18-01-2025,open,3,1,30-08-2025,FALSE,NULL,0,0,0,9615,1289,8711,0,71,FALSE,free,NULL,05-08-2023,16,1,2,Standby
Vaayu,T15,15-09-2025,TRUE,TRUE,TRUE,09-08-2026,13-06-2026,27-07-2026,open,2,5,05-09-2025,TRUE,KMM-RLJ-WRP-25-08,291,320,16,76808,7091,2909,69,99,TRUE,booked,BAY_09,23-09-2024,2,3,3,Under_Maintenance
Kaveri,T16,15-09-2025,TRUE,TRUE,TRUE,17-03-2026,09-04-2026,11-02-2026,close,0,5,09-05-2025,FALSE,NULL,0,0,0,400011,2014,7986,78,23,FALSE,free,NULL,01-01-2023,1,3,3,Under_Maintenance
Shiriya,T17,15-09-2025,TRUE,TRUE,TRUE,22-10-2026,03-12-2026,14-11-2026,open,1,2,05-11-2024,TRUE,KMM-RLJ-WRP-25-09,318,320,16,170638,1259,8741,21,13,TRUE,in_progress,BAY_03,31-10-2024,2,1,2,In_Service
Pampa,T18,15-09-2025,TRUE,TRUE,TRUE,19-07-2026,24-05-2026,29-03-2026,close,0,5,28-08-2024,FALSE,NULL,0,0,0,15135,6435,3565,72,24,FALSE,free,NULL,03-12-2023,13,2,3,Standby
Narmada,T19,15-09-2025,TRUE,TRUE,TRUE,30-09-2026,16-08-2026,08-07-2026,close,0,1,08-02-2023,FALSE,NULL,0,0,0,9470,1365,8635,14,18,FALSE,free,NULL,13-06-2024,10,1,2,In_Service
Mahe,T20,15-09-2025,TRUE,TRUE,TRUE,12-02-2026,07-01-2026,20-05-2026,close,0,1,07-06-2025,FALSE,NULL,0,0,0,480987,1173,8827,63,5,FALSE,free,NULL,25-05-2023,16,0,1,In_Service
Maarut,T21,15-09-2025,TRUE,FALSE,FALSE,06-03-2026,09-06-2025,25-08-2025,open,4,5,13-05-2026,FALSE,NULL,0,0,0,481407,1488,8512,98,96,FALSE,free,NULL,12-09-2024,13,0,1,In_Service
Sabarmathi,T22,15-09-2025,TRUE,TRUE,FALSE,28-04-2026,30-07-2026,11-09-2025,open,2,5,19-05-2024,TRUE,KMM-RLJ-WRP-25-10,320,320,0,405084,6280,3720,46,90,FALSE,free,NULL,18-03-2023,8,1,2,Standby
Godhavari,T23,15-09-2025,TRUE,TRUE,TRUE,18-12-2026,14-08-2026,05-09-2026,open,1,2,17-06-2024,TRUE,KMM-RLJ-WRP-25-11,320,320,0,253529,936,9064,79,72,TRUE,booked,BAY_10,07-06-2023,11,0,1,Standby
Ganga,T24,15-09-2025,TRUE,TRUE,TRUE,05-05-2026,22-11-2026,16-03-2026,open,1,7,04-05-2025,TRUE,KMM-RLJ-WRP-25-12,318,320,16,45820,5125,4875,42,37,TRUE,booked,BAY_07,11-04-2023,3,1,2,In_Service
Pavan,T25,15-09-2025,TRUE,TRUE,TRUE,14-09-2026,27-10-2026,18-06-2026,close,0,7,14-08-2025,TRUE,KMM-RLJ-WRP-25-13,320,320,0,358703,902,9098,43,7,FALSE,free,NULL,30-01-2023,13,1,2,Standby
