Trainname,TrainID,CURRENT_DATE,RollingStockFitnessStatus,SignallingFitnessStatus,TelecomFitnessStatus,RollingStockFitnessExpiryDate,SignallingFitnessExpiryDate,TelecomFitnessExpiryDate,JobCardStatus,OpenJobCards,ClosedJobCards,LastJobCardUpdate,BrandingActive,BrandCampaignID,ExposureHoursAccrued,ExposureHoursTarget,ExposureDailyQuota,TotalMileageKM,MileageSinceLastServiceKM,MileageBalanceVariance,BrakepadWear%,HVACWear%,CleaningRequired,CleaningSlotStatus,BayOccupancyIDC,LastCleanedDate,BayPositionID,ShuntingMovesRequired,StablingSequenceOrder,OperationalStatus,JobCardPriority,BrandingCompletionRatio,MileageBalanceAbs,CleaningPriority,ShuntingPriority,Score,Rank,BrandingActive_flag,CleaningRequired_flag,RollingStockFitnessExpiry_days,SignallingFitnessExpiry_days,TelecomFitnessExpiry_days,eligible,RL_priority,ReasonForStatus
Vaayu,T15,15-09-2025,TRUE,TRUE,TRUE,09-08-2026,13-06-2026,27-07-2026,open,2,5,05-09-2025,TRUE,KMM-RLJ-WRP-25-08,291,320,16,76808,7091,2909,69,99,TRUE,booked,BAY_09,23-09-2024,2,3,3,under_maintenance,2,0.909375,2909,1,3,48.59,16,1,1,328,271,315,1,142.59,hvac_maintenance
Vaigai,T06,15-09-2025,TRUE,TRUE,TRUE,14-11-2026,19-07-2026,23-06-2026,open,1,7,28-07-2025,FALSE,,0,0,0,348409,2248,7752,73,28,TRUE,booked,BAY_05,11-04-2023,15,0,1,in_service,1,1,7752,1,0,48.0,17,0,1,425,307,281,1,143.0,selected
Godhavari,T23,15-09-2025,TRUE,TRUE,TRUE,18-12-2026,14-08-2026,05-09-2026,open,1,2,17-06-2024,TRUE,KMM-RLJ-WRP-25-11,320,320,0,253529,936,9064,79,72,TRUE,booked,BAY_10,07-06-2023,11,0,1,in_service,1,1,9064,1,0,45.0,18,1,1,459,333,355,1,150.0,selected
Sabarmathi,T22,15-09-2025,TRUE,TRUE,FALSE,28-04-2026,30-07-2026,11-09-2025,open,2,5,19-05-2024,TRUE,KMM-RLJ-WRP-25-10,320,320,0,405084,6280,3720,46,90,FALSE,free,,18-03-2023,8,1,2,standby,2,1,3720,0,1,0.0,19,1,0,225,318,-4,0,-2.0,fitness_expired
Krishna,T01,15-09-2025,FALSE,TRUE,FALSE,12-08-2025,01-03-2026,10-07-2025,open,3,7,17-03-2023,TRUE,KMM-RLJ-WRP-25-01,288,320,16,4759,2339,7661,40,59,TRUE,booked,BAY_08,05-08-2023,15,0,1,standby,3,0.9,7661,1,0,0.0,20,1,1,-34,167,-67,0,-5.0,fitness_expired
Kabani,T14,15-09-2025,FALSE,FALSE,FALSE,20-11-2024,05-12-2024,18-01-2025,open,3,1,30-08-2025,FALSE,,0,0,0,9615,1289,8711,0,71,FALSE,free,,05-08-2023,16,1,2,standby,3,1,8711,0,1,0.0,21,0,0,-299,-284,-240,0,-17.0,fitness_expired
Padma,T10,15-09-2025,FALSE,TRUE,FALSE,29-07-2025,03-03-2026,02-05-2025,open,3,1,12-08-2025,FALSE,,0,0,0,3584,891,9109,56,89,TRUE,booked,BAY_06,19-11-2023,12,0,1,standby,3,1,9109,1,0,0.0,22,0,1,-48,169,-136,0,-15.0,fitness_expired
Periyar,T13,15-09-2025,FALSE,FALSE,FALSE,15-01-2025,28-02-2025,12-03-2025,open,4,1,12-01-2025,TRUE,KMM-RLJ-WRP-25-07,312,320,16,247502,7203,2797,55,35,TRUE,booked,BAY_04,19-07-2024,8,0,1,standby,4,0.975,2797,1,0,0.0,23,1,1,-243,-199,-187,0,-10.0,fitness_expired
Dhwanil,T08,15-09-2025,FALSE,TRUE,FALSE,18-04-2025,15-01-2026,20-06-2025,open,4,1,24-09-2025,FALSE,,0,0,0,338079,2314,7686,84,5,TRUE,in_progress,BAY_01,13-08-2023,3,2,3,standby,4,1,7686,1,2,0.0,24,0,1,-150,122,-87,0,-24.0,fitness_expired
Maarut,T21,15-09-2025,TRUE,FALSE,FALSE,06-03-2026,09-06-2025,25-08-2025,open,4,5,13-05-2026,FALSE,,0,0,0,481407,1488,8512,98,96,FALSE,free,,12-09-2024,13,0,1,standby,4,1,8512,0,0,0.0,25,0,0,172,-98,-21,0,-20.0,fitness_expired
