Trainname,TrainID,CURRENT_DATE,RollingStockFitnessStatus,SignallingFitnessStatus,TelecomFitnessStatus,RollingStockFitnessExpiryDate,SignallingFitnessExpiryDate,TelecomFitnessExpiryDate,JobCardStatus,OpenJobCards,ClosedJobCards,LastJobCardUpdate,BrandingActive,BrandCampaignID,ExposureHoursAccrued,ExposureHoursTarget,ExposureDailyQuota,TotalMileageKM,MileageSinceLastServiceKM,MileageBalanceVariance,BrakepadWear%,HVACWear%,CleaningRequired,CleaningSlotStatus,BayOccupancyIDC,LastCleanedDate,BayPositionID,ShuntingMovesRequired,StablingSequenceOrder,JobCardPriority,BrandingCompletionRatio,MileageBalanceAbs,CleaningPriority,ShuntingPriority,SignallingFitnessExpiryDate_days,TelecomFitnessExpiryDate_days,RollingStockFitnessExpiryDate_days,LastJobCardUpdate_days,LastCleanedDate_days,CleaningRequired_flag,BrandingActive_flag,JobCardStatus_enc,Score,Rank,AssignedAction,DayIndex
Yamuna,T12,15-09-2025,TRUE,TRUE,TRUE,23-04-2026,19-02-2026,09-11-2026,open,2,2,09-05-2024,FALSE,,0,0,0,11398,4248,29292282395.61,85,95,FALSE,0,,14-04-2023,9,0,1,2,1,176572.88,0,0,151,414,214,-496,30,0,0,1,175.926477809134,6,0,4
Sarayu,T04,15-09-2025,TRUE,TRUE,TRUE,09-21-2026,14-03-2026,10-08-2026,open,1,5,15-06-2025,TRUE,KMM-RLJ-WRP-25-03,372,320,16,386255,9066,29292282395.61,45,3,TRUE,0,BAY_02,30-04-2023,10,2,3,1,0.9625,198284.12,1,2,174,323,9995,-94,30,0,1,1,76.44259280310236,18,0,4
Ganga,T24,15-09-2025,TRUE,TRUE,TRUE,05-05-2026,22-11-2026,16-03-2026,open,1,7,04-05-2025,TRUE,KMM-RLJ-WRP-25-12,382,320,16,47420,6725,29292282395.61,42,37,TRUE,0,BAY_07,11-04-2023,3,1,2,1,0.99375,140550.88,1,1,427,176,226,-136,30,0,1,1,94.6680396685691,9,1,4
Jhanavi,T07,15-09-2025,TRUE,TRUE,TRUE,03-08-2026,27-05-2026,01-12-2026,open,1,1,23-08-2024,TRUE,KMM-RLJ-WRP-25-04,346,320,16,224011,7734,29292282395.61,91,65,FALSE,0,,15-07-2024,1,0,1,1,0.93125,36040.119999999995,0,0,248,436,316,-390,30,0,1,1,76.84705199304946,17,0,4
Shiriya,T17,15-09-2025,TRUE,TRUE,TRUE,22-10-2026,03-12-2026,14-11-2026,open,1,2,05-11-2024,TRUE,KMM-RLJ-WRP-25-09,382,320,16,172238,2859,29292282395.61,21,13,TRUE,0,BAY_03,31-10-2024,2,1,2,1,0.99375,15732.880000000005,1,1,438,419,396,-316,30,0,1,1,84.77411967717853,11,0,4
Vaayu,T15,15-09-2025,TRUE,TRUE,TRUE,09-08-2026,13-06-2026,27-07-2026,open,0,5,05-09-2025,TRUE,KMM-RLJ-WRP-25-08,323,320,16,77608,800,29292282395.61,69,99,TRUE,0,BAY_09,23-09-2024,2,3,3,2,0.909375,110362.88,1,3,265,309,322,-12,30,0,1,1,86.62089527860923,10,0,4
Vaigai,T06,15-09-2025,TRUE,TRUE,TRUE,14-11-2026,19-07-2026,23-06-2026,open,1,7,28-07-2025,FALSE,,0,0,0,349209,3048,29292282395.61,73,28,TRUE,0,BAY_05,11-04-2023,15,0,1,1,1,161238.12,1,0,301,275,419,-51,30,0,0,1,67.89786013621139,20,0,4
Godhavari,T23,15-09-2025,TRUE,TRUE,TRUE,18-12-2026,14-08-2026,05-09-2026,open,0,2,17-06-2024,TRUE,KMM-RLJ-WRP-25-11,336,320,0,253929,0,29292282395.61,79,72,TRUE,0,BAY_10,07-06-2023,11,0,1,1,1,65958.12,1,0,327,349,453,-457,30,0,1,1,80.126208987424,15,2,4
Sabarmathi,T22,15-09-2025,TRUE,TRUE,FALSE,28-04-2026,30-07-2026,11-09-2025,open,2,5,19-05-2024,TRUE,KMM-RLJ-WRP-25-10,320,320,0,405084,6280,29292282395.61,46,90,FALSE,0,,18-03-2023,8,1,2,2,1,217113.12,0,1,312,-10,219,-486,-914,0,1,1,68.79032727277703,19,1,4
Krishna,T01,15-09-2025,FALSE,TRUE,FALSE,12-08-2025,01-03-2026,10-07-2025,open,3,7,17-03-2023,TRUE,KMM-RLJ-WRP-25-01,288,320,16,4759,2339,29292282395.61,40,59,TRUE,0,BAY_08,05-08-2023,15,0,1,3,0.9,183211.88,1,0,161,-73,-40,-915,-774,1,1,1,356.4848388258614,2,1,4
Kabani,T14,15-09-2025,FALSE,FALSE,FALSE,20-11-2024,05-12-2024,18-01-2025,open,2,1,30-08-2025,FALSE,,0,0,0,9615,0,29292282395.61,0,71,FALSE,0,,05-08-2023,16,1,2,3,1,178355.88,0,1,-290,-246,-305,-18,-774,0,0,1,177.96904148563604,5,1,4
Padma,T10,15-09-2025,FALSE,TRUE,FALSE,29-07-2025,03-03-2026,02-05-2025,open,1,1,12-08-2025,FALSE,,0,0,0,3584,0,29292282395.61,56,89,TRUE,0,BAY_06,19-11-2023,12,0,1,3,1,184386.88,1,0,163,-142,-54,-36,-668,0,0,1,430.2960216793388,1,1,4
Periyar,T13,15-09-2025,FALSE,FALSE,FALSE,15-01-2025,28-02-2025,12-03-2025,open,0,1,12-01-2025,TRUE,KMM-RLJ-WRP-25-07,312,320,16,247502,0,29292282395.61,55,35,TRUE,0,BAY_04,19-07-2024,8,0,1,4,0.975,59531.119999999995,1,0,-205,-193,-249,-248,-425,0,1,1,54.47519165952201,24,1,4
Dhwanil,T08,15-09-2025,FALSE,TRUE,FALSE,18-04-2025,15-01-2026,20-06-2025,open,4,1,24-09-2025,FALSE,,0,0,0,338079,2314,29292282395.61,84,5,TRUE,0,BAY_01,13-08-2023,3,2,3,4,1,150108.12,1,2,116,-93,-156,7,-766,1,0,1,59.371118512884614,23,1,4
Maarut,T21,15-09-2025,TRUE,FALSE,FALSE,06-03-2026,09-06-2025,25-08-2025,open,2,5,13-05-2026,FALSE,,0,0,0,481407,0,29292282395.61,98,96,FALSE,0,,12-09-2024,13,0,1,4,1,293436.12,0,0,-104,-27,166,238,-370,0,0,1,52.085237444944916,25,1,4
