Trainname,TrainID,CURRENT_DATE,RollingStockFitnessStatus,SignallingFitnessStatus,TelecomFitnessStatus,RollingStockFitnessExpiryDate,SignallingFitnessExpiryDate,TelecomFitnessExpiryDate,JobCardStatus,OpenJobCards,ClosedJobCards,LastJobCardUpdate,BrandingActive,BrandCampaignID,ExposureHoursAccrued,ExposureHoursTarget,ExposureDailyQuota,TotalMileageKM,MileageSinceLastServiceKM,MileageBalanceVariance,BrakepadWear%,HVACWear%,CleaningRequired,CleaningSlotStatus,BayOccupancyIDC,LastCleanedDate,BayPositionID,ShuntingMovesRequired,StablingSequenceOrder,JobCardPriority,BrandingCompletionRatio,MileageBalanceAbs,CleaningPriority,ShuntingPriority,SignallingFitnessExpiryDate_days,TelecomFitnessExpiryDate_days,RollingStockFitnessExpiryDate_days,LastJobCardUpdate_days,LastCleanedDate_days,CleaningRequired_flag,BrandingActive_flag,JobCardStatus_enc,Score,Rank,AssignedAction,DayIndex
Yamuna,T12,15-09-2025,TRUE,TRUE,TRUE,23-04-2026,19-02-2026,09-11-2026,open,2,2,09-05-2024,FALSE,,0,0,0,10598,3448,29284113678.27667,85,95,FALSE,0,,14-04-2023,9,0,1,2,1,177036.88,0,0,153,416,216,-496,30,0,0,1,185.12119834175496,5,0,2
Sarayu,T04,15-09-2025,TRUE,TRUE,TRUE,09-21-2026,14-03-2026,10-08-2026,open,1,5,15-06-2025,TRUE,KMM-RLJ-WRP-25-03,340,320,16,385455,8266,29284113678.27667,45,3,TRUE,0,BAY_02,30-04-2023,10,2,3,1,0.9625,197820.12,1,2,176,325,9997,-94,30,0,1,1,76.53744574327158,18,0,2
Ganga,T24,15-09-2025,TRUE,TRUE,TRUE,05-05-2026,22-11-2026,16-03-2026,open,1,7,04-05-2025,TRUE,KMM-RLJ-WRP-25-12,350,320,16,46620,5925,29284113678.27667,42,37,TRUE,0,BAY_07,11-04-2023,3,1,2,1,0.99375,141014.88,1,1,429,178,228,-136,30,0,1,1,95.22003790726588,9,0,2
Jhanavi,T07,15-09-2025,TRUE,TRUE,TRUE,03-08-2026,27-05-2026,01-12-2026,open,1,1,23-08-2024,TRUE,KMM-RLJ-WRP-25-04,314,320,16,223211,6934,29284113678.27667,91,65,FALSE,0,,15-07-2024,1,0,1,1,0.93125,35576.119999999995,0,0,250,438,318,-390,30,0,1,1,76.93167643994184,17,0,2
Shiriya,T17,15-09-2025,TRUE,TRUE,TRUE,22-10-2026,03-12-2026,14-11-2026,open,1,2,05-11-2024,TRUE,KMM-RLJ-WRP-25-09,350,320,16,171438,2059,29284113678.27667,21,13,TRUE,0,BAY_03,31-10-2024,2,1,2,1,0.99375,16196.880000000005,1,1,440,421,398,-316,30,0,1,1,84.89350582994496,11,0,2
Vaayu,T15,15-09-2025,TRUE,TRUE,TRUE,09-08-2026,13-06-2026,27-07-2026,open,0,5,05-09-2025,TRUE,KMM-RLJ-WRP-25-08,291,320,16,76808,0,29284113678.27667,69,99,TRUE,0,BAY_09,23-09-2024,2,3,3,2,0.909375,110826.88,1,3,267,311,324,-12,-359,0,1,1,86.8731799809018,10,0,2
Vaigai,T06,15-09-2025,TRUE,TRUE,TRUE,14-11-2026,19-07-2026,23-06-2026,open,1,7,28-07-2025,FALSE,,0,0,0,348809,2648,29284113678.27667,73,28,TRUE,0,BAY_05,11-04-2023,15,0,1,1,1,161174.12,1,0,303,277,421,-51,30,0,0,1,67.99634558177249,20,0,2
Godhavari,T23,15-09-2025,TRUE,TRUE,TRUE,18-12-2026,14-08-2026,05-09-2026,open,0,2,17-06-2024,TRUE,KMM-RLJ-WRP-25-11,336,320,0,253929,400,29284113678.27667,79,72,TRUE,0,BAY_10,07-06-2023,11,0,1,1,1,66294.12,1,0,329,351,455,-457,30,0,1,1,80.23202343200363,14,1,2
Sabarmathi,T22,15-09-2025,TRUE,TRUE,FALSE,28-04-2026,30-07-2026,11-09-2025,open,2,5,19-05-2024,TRUE,KMM-RLJ-WRP-25-10,320,320,0,405084,6280,29284113678.27667,46,90,FALSE,0,,18-03-2023,8,1,2,2,1,217449.12,0,1,314,-8,221,-486,-914,0,1,1,68.89243861542806,19,1,2
Krishna,T01,15-09-2025,FALSE,TRUE,FALSE,12-08-2025,01-03-2026,10-07-2025,open,3,7,17-03-2023,TRUE,KMM-RLJ-WRP-25-01,288,320,16,4759,2339,29284113678.27667,40,59,TRUE,0,BAY_08,05-08-2023,15,0,1,3,0.9,182875.88,1,0,163,-71,-38,-915,-774,1,1,1,356.0512062276334,2,1,2
Kabani,T14,15-09-2025,FALSE,FALSE,FALSE,20-11-2024,05-12-2024,18-01-2025,open,1,1,30-08-2025,FALSE,,0,0,0,9615,0,29284113678.27667,0,71,FALSE,0,,05-08-2023,16,1,2,3,1,178019.88,0,1,-288,-244,-303,-18,-774,0,0,1,176.5528415377401,6,1,2
Padma,T10,15-09-2025,FALSE,TRUE,FALSE,29-07-2025,03-03-2026,02-05-2025,open,3,1,12-08-2025,FALSE,,0,0,0,3584,891,29284113678.27667,56,89,TRUE,0,BAY_06,19-11-2023,12,0,1,3,1,184050.88,1,0,165,-140,-52,-36,-668,1,0,1,437.1887868402312,1,2,2
Periyar,T13,15-09-2025,FALSE,FALSE,FALSE,15-01-2025,28-02-2025,12-03-2025,open,1,1,12-01-2025,TRUE,KMM-RLJ-WRP-25-07,312,320,16,247502,0,29284113678.27667,55,35,TRUE,0,BAY_04,19-07-2024,8,0,1,4,0.975,59867.119999999995,1,0,-203,-191,-247,-248,-425,0,1,1,55.83126368112334,24,1,2
Dhwanil,T08,15-09-2025,FALSE,TRUE,FALSE,18-04-2025,15-01-2026,20-06-2025,open,4,1,24-09-2025,FALSE,,0,0,0,338079,2314,29284113678.27667,84,5,TRUE,0,BAY_01,13-08-2023,3,2,3,4,1,150444.12,1,2,118,-91,-154,7,-766,1,0,1,59.47446280270371,23,1,2
Maarut,T21,15-09-2025,TRUE,FALSE,FALSE,06-03-2026,09-06-2025,25-08-2025,open,2,5,13-05-2026,FALSE,,0,0,0,481407,0,29284113678.27667,98,96,FALSE,0,,12-09-2024,13,0,1,4,1,293772.12,0,0,-102,-25,168,238,-370,0,0,1,52.18636251155594,25,1,2
