Trainname,TrainID,CURRENT_DATE,RollingStockFitnessStatus,SignallingFitnessStatus,TelecomFitnessStatus,RollingStockFitnessExpiryDate,SignallingFitnessExpiryDate,TelecomFitnessExpiryDate,JobCardStatus,OpenJobCards,ClosedJobCards,LastJobCardUpdate,BrandingActive,BrandCampaignID,ExposureHoursAccrued,ExposureHoursTarget,ExposureDailyQuota,TotalMileageKM,MileageSinceLastServiceKM,MileageBalanceVariance,BrakepadWear%,HVACWear%,CleaningRequired,CleaningSlotStatus,BayOccupancyIDC,LastCleanedDate,BayPositionID,ShuntingMovesRequired,StablingSequenceOrder,JobCardPriority,BrandingCompletionRatio,MileageBalanceAbs,CleaningPriority,ShuntingPriority,SignallingFitnessExpiryDate_days,TelecomFitnessExpiryDate_days,RollingStockFitnessExpiryDate_days,LastJobCardUpdate_days,LastCleanedDate_days,CleaningRequired_flag,BrandingActive_flag,JobCardStatus_enc,Score,Rank,AssignedAction,DayIndex
Yamuna,T12,15-09-2025,TRUE,TRUE,TRUE,23-04-2026,19-02-2026,09-11-2026,open,2,2,09-05-2024,FALSE,,0,0,0,11798,4648,29305419414.27667,85,95,FALSE,0,,14-04-2023,9,0,1,2,1,176380.88,0,0,150,413,213,-496,30,0,0,1,171.8172763894642,6,2,5
Sarayu,T04,15-09-2025,TRUE,TRUE,TRUE,09-21-2026,14-03-2026,10-08-2026,open,1,5,15-06-2025,TRUE,KMM-RLJ-WRP-25-03,388,320,16,386655,9466,29305419414.27667,45,3,TRUE,0,BAY_02,30-04-2023,10,2,3,1,0.9625,198476.12,1,2,173,322,9994,-94,30,0,1,1,76.39438883762182,18,0,5
Ganga,T24,15-09-2025,TRUE,TRUE,TRUE,05-05-2026,22-11-2026,16-03-2026,open,1,7,04-05-2025,TRUE,KMM-RLJ-WRP-25-12,382,320,16,47420,6725,29305419414.27667,42,37,TRUE,0,BAY_07,11-04-2023,3,1,2,1,0.99375,140758.88,1,1,426,175,225,-136,30,0,1,1,94.6529919748188,9,0,5
Jhanavi,T07,15-09-2025,TRUE,TRUE,TRUE,03-08-2026,27-05-2026,01-12-2026,open,1,1,23-08-2024,TRUE,KMM-RLJ-WRP-25-04,362,320,16,224411,8134,29305419414.27667,91,65,FALSE,0,,15-07-2024,1,0,1,1,0.93125,36232.119999999995,0,0,247,435,315,-390,30,0,1,1,76.80337281531723,17,0,5
Shiriya,T17,15-09-2025,TRUE,TRUE,TRUE,22-10-2026,03-12-2026,14-11-2026,open,1,2,05-11-2024,TRUE,KMM-RLJ-WRP-25-09,398,320,16,172638,3259,29305419414.27667,21,13,TRUE,0,BAY_03,31-10-2024,2,1,2,1,0.99375,15540.880000000005,1,1,437,418,395,-316,30,0,1,1,84.71624600003094,11,0,5
Vaayu,T15,15-09-2025,TRUE,TRUE,TRUE,09-08-2026,13-06-2026,27-07-2026,open,0,5,05-09-2025,TRUE,KMM-RLJ-WRP-25-08,339,320,16,78008,1200,29305419414.27667,69,99,TRUE,0,BAY_09,23-09-2024,2,3,3,2,0.909375,110170.88,1,3,264,308,321,-12,30,0,1,1,86.49980159650912,10,1,5
Vaigai,T06,15-09-2025,TRUE,TRUE,TRUE,14-11-2026,19-07-2026,23-06-2026,open,2,7,28-07-2025,FALSE,,0,0,0,349609,3448,29305419414.27667,73,28,TRUE,0,BAY_05,11-04-2023,15,0,1,1,1,161430.12,1,0,300,274,418,-51,30,0,0,1,69.10007163387348,20,2,5
Godhavari,T23,15-09-2025,TRUE,TRUE,TRUE,18-12-2026,14-08-2026,05-09-2026,open,0,2,17-06-2024,TRUE,KMM-RLJ-WRP-25-11,336,320,0,253929,0,29305419414.27667,79,72,TRUE,0,BAY_10,07-06-2023,11,0,1,1,1,65750.12,1,0,326,348,452,-457,30,0,1,1,80.072120332529,15,0,5
Sabarmathi,T22,15-09-2025,TRUE,TRUE,FALSE,28-04-2026,30-07-2026,11-09-2025,open,3,5,19-05-2024,TRUE,KMM-RLJ-WRP-25-10,320,320,0,405084,6280,29305419414.27667,46,90,FALSE,0,,18-03-2023,8,1,2,2,1,216905.12,0,1,311,-11,218,-486,-914,0,1,1,69.98853088931406,19,1,5
Krishna,T01,15-09-2025,FALSE,TRUE,FALSE,12-08-2025,01-03-2026,10-07-2025,open,3,7,17-03-2023,TRUE,KMM-RLJ-WRP-25-01,288,320,16,4759,2339,29305419414.27667,40,59,TRUE,0,BAY_08,05-08-2023,15,0,1,3,0.9,183419.88,1,0,160,-74,-41,-915,-774,1,1,1,356.76469357841876,2,1,5
Kabani,T14,15-09-2025,FALSE,FALSE,FALSE,20-11-2024,05-12-2024,18-01-2025,open,2,1,30-08-2025,FALSE,,0,0,0,9615,0,29305419414.27667,0,71,FALSE,0,,05-08-2023,16,1,2,3,1,178563.88,0,1,-291,-247,-306,-18,-774,0,0,1,178.08334277013066,5,1,5
Padma,T10,15-09-2025,FALSE,TRUE,FALSE,29-07-2025,03-03-2026,02-05-2025,open,1,1,12-08-2025,FALSE,,0,0,0,3584,0,29305419414.27667,56,89,TRUE,0,BAY_06,19-11-2023,12,0,1,3,1,184594.88,1,0,162,-143,-55,-36,-668,0,0,1,430.68334433101217,1,2,5
Periyar,T13,15-09-2025,FALSE,FALSE,FALSE,15-01-2025,28-02-2025,12-03-2025,open,0,1,12-01-2025,TRUE,KMM-RLJ-WRP-25-07,312,320,16,247502,0,29305419414.27667,55,35,TRUE,0,BAY_04,19-07-2024,8,0,1,4,0.975,59323.119999999995,1,0,-206,-194,-250,-248,-425,0,1,1,54.420943474804076,24,1,5
Dhwanil,T08,15-09-2025,FALSE,TRUE,FALSE,18-04-2025,15-01-2026,20-06-2025,open,4,1,24-09-2025,FALSE,,0,0,0,338079,2314,29305419414.27667,84,5,TRUE,0,BAY_01,13-08-2023,3,2,3,4,1,149900.12,1,2,115,-94,-157,7,-766,1,0,1,59.318559001412815,23,2,5
Maarut,T21,15-09-2025,TRUE,FALSE,FALSE,06-03-2026,09-06-2025,25-08-2025,open,2,5,13-05-2026,FALSE,,0,0,0,481407,0,29305419414.27667,98,96,FALSE,0,,12-09-2024,13,0,1,4,1,293228.12,0,0,-105,-28,165,238,-370,0,0,1,52.0340517383162,25,1,5
