Trainname,TrainID,CURRENT_DATE,RollingStockFitnessStatus,SignallingFitnessStatus,TelecomFitnessStatus,RollingStockFitnessExpiryDate,SignallingFitnessExpiryDate,TelecomFitnessExpiryDate,JobCardStatus,OpenJobCards,ClosedJobCards,LastJobCardUpdate,BrandingActive,BrandCampaignID,ExposureHoursAccrued,ExposureHoursTarget,ExposureDailyQuota,TotalMileageKM,MileageSinceLastServiceKM,MileageBalanceVariance,BrakepadWear%,HVACWear%,CleaningRequired,CleaningSlotStatus,BayOccupancyIDC,LastCleanedDate,BayPositionID,ShuntingMovesRequired,StablingSequenceOrder,JobCardPriority,BrandingCompletionRatio,MileageBalanceAbs,CleaningPriority,ShuntingPriority,SignallingFitnessExpiryDate_days,TelecomFitnessExpiryDate_days,RollingStockFitnessExpiryDate_days,LastJobCardUpdate_days,LastCleanedDate_days,CleaningRequired_flag,BrandingActive_flag,JobCardStatus_enc,Score,Rank,AssignedAction,DayIndex
Yamuna,T12,15-09-2025,TRUE,TRUE,TRUE,23-04-2026,19-02-2026,09-11-2026,open,2,2,09-05-2024,FALSE,,0,0,0,10198,3048,29283611992.943333,85,95,FALSE,0,,14-04-2023,9,0,1,2,1,177228.88,0,0,154,417,217,-496,30,0,0,1,190.22447134317514,5,0,1
Sarayu,T04,15-09-2025,TRUE,TRUE,TRUE,09-21-2026,14-03-2026,10-08-2026,open,1,5,15-06-2025,TRUE,KMM-RLJ-WRP-25-03,324,320,16,385055,7866,29283611992.943333,45,3,TRUE,0,BAY_02,30-04-2023,10,2,3,1,0.9625,197628.12,1,2,177,326,9998,-94,-871,1,1,1,81.58564970622783,12,0,1
Ganga,T24,15-09-2025,TRUE,TRUE,TRUE,05-05-2026,22-11-2026,16-03-2026,open,1,7,04-05-2025,TRUE,KMM-RLJ-WRP-25-12,334,320,16,46220,5525,29283611992.943333,42,37,TRUE,0,BAY_07,11-04-2023,3,1,2,1,0.99375,141206.88,1,1,430,179,229,-136,30,0,1,1,95.49546724506517,9,0,1
Jhanavi,T07,15-09-2025,TRUE,TRUE,TRUE,03-08-2026,27-05-2026,01-12-2026,open,1,1,23-08-2024,TRUE,KMM-RLJ-WRP-25-04,298,320,16,222811,6534,29283611992.943333,91,65,FALSE,0,,15-07-2024,1,0,1,1,0.93125,35384.119999999995,0,0,251,439,319,-390,-429,0,1,1,76.97530475829231,18,0,1
Shiriya,T17,15-09-2025,TRUE,TRUE,TRUE,22-10-2026,03-12-2026,14-11-2026,open,1,2,05-11-2024,TRUE,KMM-RLJ-WRP-25-09,334,320,16,171038,1659,29283611992.943333,21,13,TRUE,0,BAY_03,31-10-2024,2,1,2,1,0.99375,16388.880000000005,1,1,441,422,399,-316,-321,1,1,1,89.95152733302425,11,0,1
Vaayu,T15,15-09-2025,TRUE,TRUE,TRUE,09-08-2026,13-06-2026,27-07-2026,open,2,5,05-09-2025,TRUE,KMM-RLJ-WRP-25-08,291,320,16,76808,7091,29283611992.943333,69,99,TRUE,0,BAY_09,23-09-2024,2,3,3,2,0.909375,110618.88,1,3,268,312,325,-12,-359,1,1,1,94.40081455191523,10,2,1
Vaigai,T06,15-09-2025,TRUE,TRUE,TRUE,14-11-2026,19-07-2026,23-06-2026,open,1,7,28-07-2025,FALSE,,0,0,0,348409,2248,29283611992.943333,73,28,TRUE,0,BAY_05,11-04-2023,15,0,1,1,1,160982.12,1,0,304,278,422,-51,-890,1,0,1,73.04413639825619,19,0,1
Godhavari,T23,15-09-2025,TRUE,TRUE,TRUE,18-12-2026,14-08-2026,05-09-2026,open,0,2,17-06-2024,TRUE,KMM-RLJ-WRP-25-11,320,320,0,253529,0,29283611992.943333,79,72,TRUE,0,BAY_10,07-06-2023,11,0,1,1,1,66102.12,1,0,330,352,456,-457,-833,0,1,1,80.27737808695707,15,0,1
Sabarmathi,T22,15-09-2025,TRUE,TRUE,FALSE,28-04-2026,30-07-2026,11-09-2025,open,2,5,19-05-2024,TRUE,KMM-RLJ-WRP-25-10,320,320,0,405084,6280,29283611992.943333,46,90,FALSE,0,,18-03-2023,8,1,2,2,1,217657.12,0,1,315,-7,222,-486,-914,0,1,1,68.94423487389106,20,1,1
Krishna,T01,15-09-2025,FALSE,TRUE,FALSE,12-08-2025,01-03-2026,10-07-2025,open,3,7,17-03-2023,TRUE,KMM-RLJ-WRP-25-01,288,320,16,4759,2339,29283611992.943333,40,59,TRUE,0,BAY_08,05-08-2023,15,0,1,3,0.9,182667.88,1,0,164,-70,-37,-915,-774,1,1,1,355.77135147507596,2,1,1
Kabani,T14,15-09-2025,FALSE,FALSE,FALSE,20-11-2024,05-12-2024,18-01-2025,open,3,1,30-08-2025,FALSE,,0,0,0,9615,1289,29283611992.943333,0,71,FALSE,0,,05-08-2023,16,1,2,3,1,177811.88,0,1,-287,-243,-302,-18,-774,0,0,1,178.93854000324552,6,2,1
Padma,T10,15-09-2025,FALSE,TRUE,FALSE,29-07-2025,03-03-2026,02-05-2025,open,3,1,12-08-2025,FALSE,,0,0,0,3584,891,29283611992.943333,56,89,TRUE,0,BAY_06,19-11-2023,12,0,1,3,1,183842.88,1,0,166,-139,-51,-36,-668,1,0,1,436.80146418855793,1,1,1
Periyar,T13,15-09-2025,FALSE,FALSE,FALSE,15-01-2025,28-02-2025,12-03-2025,open,2,1,12-01-2025,TRUE,KMM-RLJ-WRP-25-07,312,320,16,247502,0,29283611992.943333,55,35,TRUE,0,BAY_04,19-07-2024,8,0,1,4,0.975,60075.119999999995,1,0,-202,-190,-246,-248,-425,0,1,1,57.13551174084128,24,2,1
Dhwanil,T08,15-09-2025,FALSE,TRUE,FALSE,18-04-2025,15-01-2026,20-06-2025,open,4,1,24-09-2025,FALSE,,0,0,0,338079,2314,29283611992.943333,84,5,TRUE,0,BAY_01,13-08-2023,3,2,3,4,1,150652.12,1,2,119,-90,-153,7,-766,1,0,1,59.52702231417551,23,1,1
Maarut,T21,15-09-2025,TRUE,FALSE,FALSE,06-03-2026,09-06-2025,25-08-2025,open,4,5,13-05-2026,FALSE,,0,0,0,481407,1488,29283611992.943333,98,96,FALSE,0,,12-09-2024,13,0,1,4,1,293980.12,0,0,-101,-24,169,238,-370,0,0,1,54.73754796818468,25,2,1
